iter	RMSE
0	0.4796489047
1	0.4578860651
2	0.4379382862
3	0.4200468154
4	0.4038053692
5	0.3891185507
6	0.3756040221
7	0.3637039614
8	0.3530053634
9	0.34313738
10	0.334616729
11	0.3267360093
12	0.319753225
13	0.3130559696
14	0.3074954481
15	0.3022179775
16	0.2976811188
17	0.2936121289
18	0.2897986656
19	0.2864767404
20	0.2835237585
21	0.2810183345
22	0.2786508646
23	0.2757804737
24	0.2738630529
25	0.2719029819
26	0.2696984848
27	0.2679076736
28	0.2665903259
29	0.2645537436
30	0.2634225175
31	0.2624049192
32	0.2605612505
33	0.2594072141
34	0.2585058183
35	0.2577315367
36	0.2566549193
37	0.2551003583
38	0.2543079677
39	0.2534950789
40	0.2529542401
41	0.2518549977
42	0.2513622685
43	0.2509007518
44	0.2499289024
45	0.2493732567
46	0.2483174186
47	0.2476953104
48	0.247339833
49	0.2467035091
50	0.2460817886
51	0.2457509991
52	0.2446164604
53	0.2442967602
54	0.24362154
55	0.2426786487
56	0.2422981713
57	0.2419279247
58	0.2414632611
59	0.2411681805
60	0.2404986639
61	0.23983998
62	0.2393256181
63	0.2390346358
64	0.238735612
65	0.2382842806
66	0.2377632118
67	0.2371003548
68	0.236895084
69	0.2366111428
70	0.2362081701
71	0.2357219211
72	0.2351666049
73	0.2349196338
74	0.2347445022
75	0.2345861452
76	0.2341368484
77	0.2335905732
78	0.2332449337
79	0.2328392114
80	0.2324070125
81	0.2321560925
82	0.2317806434
83	0.2314731026
84	0.2312383472
85	0.2309516218
86	0.2307665745
87	0.2305089438
88	0.2303475068
89	0.2301253173
90	0.2299682461
91	0.2297945023
92	0.2296779068
93	0.2295089647
94	0.2293191517
95	0.2289537168
96	0.2287967764
97	0.2286694653
98	0.2284500787
99	0.2282548521
100	0.2280944434
101	0.2278900123
102	0.2275128752
103	0.2273679349
104	0.2271866905
105	0.2270473681
106	0.2268736831
107	0.2267269005
108	0.226571669
109	0.226443258
110	0.2262105018
111	0.226122472
112	0.2259893157
113	0.2258755219
114	0.2255957952
115	0.2254702504
116	0.2253536806
117	0.2252233961
118	0.2251017712
119	0.2249250538
120	0.2246929896
121	0.2245004545
122	0.2243087334
123	0.2241985777
124	0.2241049684
125	0.22394315
126	0.2238007027
127	0.2236938637
128	0.2235532974
129	0.2234701905
130	0.2233659705
131	0.2232261869
132	0.2231039146
133	0.2229939505
134	0.2228794092
135	0.222799252
136	0.2225076024
137	0.2224222835
138	0.2222920435
139	0.222154008
140	0.2219495402
141	0.2218014275
142	0.2216361101
143	0.2215183953
144	0.2214284847
145	0.2213435036
146	0.221252311
147	0.2211263869
148	0.2210457914
149	0.2209555926
150	0.2208711113
151	0.2208004087
152	0.2206696003
153	0.2205843972
154	0.220487507
155	0.2203892886
156	0.2203013054
157	0.2202030164
158	0.2201226124
159	0.2200078051
160	0.2199329436
161	0.2198604341
162	0.2197286646
163	0.2196597501
164	0.2195194974
165	0.2194226486
166	0.2193715595
167	0.2192825725
168	0.2191892349
169	0.2191236987
170	0.219036839
171	0.2189192466
172	0.2188527089
173	0.2187551766
174	0.2186995381
175	0.2185658676
176	0.2184625401
177	0.218356083
178	0.218281431
179	0.2182002797
180	0.2181293094
181	0.2180600477
182	0.2180033412
183	0.2179508798
184	0.2178546981
185	0.2177628582
186	0.2176874184
187	0.2176005174
188	0.2175268782
189	0.217389302
190	0.2173400573
191	0.2172865304
192	0.2172283998
193	0.2171586103
194	0.2170723887
195	0.2170075031
196	0.2169427243
197	0.216864428
198	0.2168064536
199	0.2167658436
200	0.2167167889
201	0.2166204762
202	0.216532073
203	0.2164457571
204	0.2163838661
205	0.2163162576
206	0.2162324595
207	0.2161697032
208	0.2160981272
209	0.2160486814
210	0.2159800116
211	0.2159219307
212	0.2158838322
213	0.2158457215
214	0.2157599047
215	0.2156866718
216	0.2156404062
217	0.2155443015
218	0.2154737569
219	0.2154167531
220	0.2153747799
221	0.215279959
222	0.2152483183
223	0.2151280015
224	0.2150760725
225	0.2150195402
226	0.2149640155
227	0.2148778753
228	0.2148139216
229	0.2147856836
230	0.2146896278
231	0.2146257519
232	0.2145844494
233	0.2145302314
234	0.2144819998
235	0.2144104799
236	0.2143801899
237	0.2143369437
238	0.2142934625
239	0.214232607
240	0.2141893409
241	0.2141354038
242	0.2140753979
243	0.2140253628
244	0.2139759009
245	0.2139123495
246	0.2138846036
247	0.2138157913
248	0.2137640049
249	0.2137256209
250	0.2136301881
251	0.2135728001
252	0.2135162642
253	0.2134440096
254	0.21340847
255	0.2133594017
256	0.2133204523
257	0.2132709421
258	0.2132301986
259	0.213206955
260	0.2131498302
