iter	Passed	Remaining
0	8	8551
1	14	7375
2	20	6800
3	25	6326
4	31	6242
5	37	6147
6	42	6033
7	48	6048
8	54	5959
9	59	5843
10	65	5854
11	70	5785
12	75	5752
13	81	5772
14	87	5719
15	92	5671
16	98	5699
17	103	5651
18	109	5667
19	115	5635
20	120	5606
21	125	5571
22	131	5567
23	136	5547
24	141	5536
25	148	5556
26	153	5535
27	160	5563
28	165	5539
29	171	5536
30	177	5537
31	182	5506
32	187	5490
33	193	5497
34	199	5498
35	204	5485
36	210	5490
37	216	5479
38	221	5468
39	227	5466
40	232	5441
41	237	5428
42	243	5421
43	249	5412
44	255	5416
45	261	5423
46	267	5429
47	273	5428
48	279	5416
49	284	5404
50	290	5396
51	295	5386
52	300	5363
53	305	5343
54	310	5343
55	315	5326
56	321	5316
57	327	5320
58	333	5313
59	339	5312
60	345	5312
61	351	5311
62	357	5324
63	364	5326
64	369	5319
65	377	5336
66	383	5340
67	389	5341
68	395	5338
69	401	5337
70	408	5342
71	414	5346
72	421	5349
73	427	5349
74	432	5336
75	438	5331
76	444	5324
77	449	5313
78	454	5301
79	459	5280
80	464	5271
81	470	5263
82	475	5256
83	481	5246
84	494	5325
85	499	5312
86	506	5312
87	511	5298
88	516	5287
89	522	5285
90	527	5270
91	533	5264
92	539	5257
93	544	5248
94	550	5239
95	556	5242
96	562	5237
97	568	5231
98	574	5231
99	580	5226
100	587	5231
101	593	5222
102	599	5220
103	607	5231
104	612	5221
105	618	5216
106	624	5215
107	631	5213
108	637	5212
109	642	5200
110	647	5188
111	654	5186
112	659	5179
113	664	5168
114	671	5169
115	677	5160
116	682	5153
117	688	5143
118	693	5137
119	700	5133
120	705	5124
121	710	5112
122	716	5109
123	721	5099
124	727	5092
125	732	5083
126	737	5072
127	743	5065
128	749	5058
129	754	5047
130	759	5040
131	765	5036
132	771	5026
133	775	5014
134	780	5002
135	787	5001
136	793	5000
137	800	5002
138	806	4997
139	811	4987
140	818	4987
141	824	4982
142	830	4974
143	836	4971
144	841	4959
145	847	4954
146	852	4947
147	857	4936
148	863	4931
149	869	4924
150	874	4914
151	880	4911
152	885	4903
153	891	4896
154	897	4893
155	902	4884
156	908	4875
157	913	4870
158	919	4861
159	924	4854
160	930	4851
161	936	4845
162	941	4834
163	947	4829
164	952	4818
165	956	4806
166	962	4799
167	967	4790
168	972	4783
169	978	4776
170	983	4768
171	988	4759
172	994	4754
173	1000	4747
174	1005	4740
175	1011	4737
176	1016	4727
177	1021	4719
178	1028	4715
179	1033	4709
180	1039	4702
181	1045	4699
182	1051	4693
183	1056	4686
184	1063	4684
185	1068	4677
186	1073	4667
187	1080	4666
188	1085	4659
189	1091	4651
190	1097	4649
191	1102	4640
192	1108	4633
193	1114	4632
194	1120	4626
195	1127	4623
196	1132	4615
197	1137	4607
198	1143	4602
199	1149	4597
200	1154	4588
201	1159	4581
202	1165	4574
203	1170	4566
204	1175	4560
205	1181	4552
206	1186	4543
207	1192	4538
208	1196	4530
209	1202	4522
210	1208	4517
211	1213	4510
212	1218	4501
213	1224	4497
214	1229	4489
215	1234	4481
216	1240	4477
217	1246	4472
218	1252	4465
219	1257	4459
220	1263	4453
221	1268	4445
222	1274	4440
223	1279	4432
224	1285	4426
225	1290	4419
226	1295	4411
227	1300	4403
228	1305	4395
229	1311	4389
230	1316	4381
231	1321	4373
232	1326	4367
233	1331	4358
234	1337	4355
235	1343	4348
236	1349	4343
237	1356	4342
238	1362	4337
239	1368	4332
240	1375	4330
241	1380	4323
242	1386	4318
243	1392	4314
244	1396	4304
245	1403	4302
246	1409	4296
247	1414	4289
248	1420	4284
249	1426	4279
250	1431	4271
251	1437	4266
252	1442	4258
253	1447	4250
254	1453	4245
255	1458	4239
256	1464	4232
257	1469	4227
258	1475	4221
259	1480	4214
260	1487	4211
261	1492	4203
262	1498	4197
263	1504	4193
264	1509	4186
265	1514	4179
266	1521	4176
267	1526	4168
268	1531	4162
269	1537	4157
270	1542	4149
271	1547	4141
272	1553	4136
273	1558	4130
274	1563	4123
275	1569	4118
276	1575	4111
277	1580	4104
278	1586	4100
279	1592	4094
280	1597	4086
281	1603	4082
282	1609	4076
283	1614	4069
284	1619	4063
285	1625	4057
286	1631	4052
287	1636	4046
288	1642	4039
289	1646	4031
290	1653	4028
291	1658	4021
292	1664	4017
293	1670	4011
294	1676	4006
295	1682	4001
296	1687	3995
297	1693	3989
298	1699	3983
299	1703	3975
300	1709	3970
301	1715	3964
302	1721	3959
303	1726	3951
304	1732	3948
305	1737	3941
306	1742	3934
307	1748	3928
308	1753	3922
309	1758	3914
310	1764	3908
311	1770	3905
312	1776	3899
313	1785	3899
314	1791	3895
315	1798	3892
316	1803	3885
317	1808	3878
318	1814	3872
319	1819	3866
320	1824	3859
321	1830	3854
322	1835	3847
323	1840	3839
324	1846	3834
325	1851	3827
326	1856	3821
327	1862	3816
328	1868	3810
329	1873	3804
330	1879	3798
331	1885	3794
332	1890	3787
333	1896	3781
334	1901	3774
335	1906	3768
336	1913	3764
337	1918	3757
338	1923	3750
339	1929	3745
340	1933	3737
341	1939	3730
342	1945	3725
343	1950	3720
344	1956	3714
345	1962	3708
346	1967	3701
347	1972	3695
348	1978	3691
349	1984	3686
350	1990	3680
351	1996	3675
352	2001	3668
353	2006	3662
354	2013	3657
355	2018	3651
356	2024	3646
357	2030	3640
358	2035	3634
359	2039	3626
360	2046	3621
361	2051	3615
362	2056	3608
363	2062	3603
364	2067	3597
365	2074	3592
366	2080	3588
367	2085	3581
368	2091	3575
369	2096	3569
370	2101	3563
371	2107	3557
372	2113	3551
373	2118	3546
374	2125	3541
375	2130	3535
376	2135	3529
377	2142	3524
378	2146	3517
379	2152	3511
380	2157	3505
381	2163	3499
382	2168	3493
383	2174	3487
384	2180	3482
385	2186	3477
386	2192	3472
387	2197	3466
388	2202	3459
389	2208	3454
390	2214	3449
391	2219	3442
392	2225	3436
393	2230	3430
394	2235	3424
395	2241	3419
396	2246	3412
397	2252	3406
